Item,PRO1Gender,PRO2City,PRO3Age,PRO4Marital,PRO5Retirement,PRO6Religion,PRO7Education,PRO8AnnualIncome,PRO9Career,PRO10CommunityCare,PRO11Long-termCare,PRO12LivingWithChildren,PRO131RetirementIncome,PRO132RetirementIncome,PRO133RetirementIncome,PRO134RetirementIncome,SA11,SA12,SA13,SA14,SA15,SA16,SA21,SA22,SA23,SA24,SA25,SA31,SA32,SA33,SA34,SA35,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10,SAT11,SAT12,PP1,PP2,PP3,PP4,PP5,PP6,PP7,PP8,PP9,PP10,PP11,CB1,CB2,CB3,CB4,CB5,CB6,CB7,FI1,FI2,FI3,FI4,FI5,FI6,FI7,FI8
1,2,13,1,1,1,8,2,1,5,0,0,0,95,99,99,99,1,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,5,5,5,4,5,5,4,5,4,2,5,4,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,2,4,0,0,0,0,0,1,0,3,2
2,2,20,1,1,0,6,1,1,6,0,0,1,1,2,99,99,5,4,4,4,4,2,5,4,4,5,2,5,5,2,5,4,4,5,4,5,5,4,5,4,4,4,4,4,4,4,2,4,4,4,5,5,1,1,1,1,1,2,1,1,1,1,1,4,5,5,4,4,5,4,1,0,0,0,0,0,0,0
3,2,11,2,1,1,6,3,5,3,0,0,1,3,99,99,99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,5,4,2,2,4,4,5,5,5,5,2,4,2,2,4,5,2,1,1,1,1,1,2,2,1,1,1,1,4,5,5,2,4,4,0,9,0,0,0,0,0,0,0
4,2,8,3,3,1,2,1,4,10,0,0,1,1,99,99,99,1,5,4,5,4,4,5,5,5,2,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,2,5,2,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2,4,0,0,0,0,0,0,1,0,0
5,1,4,1,1,1,6,4,2,1,0,0,0,4,99,99,99,5,5,5,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,4,4,4,5,5,4,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,5,5,4,4,1,0,0,0,0,0,0,0,0
6,2,14,1,1,0,6,1,2,1,0,0,0,4,99,99,99,4,5,5,4,4,4,5,5,4,5,4,5,5,5,5,4,2,4,4,5,4,5,4,5,4,4,5,5,2,4,2,2,2,3,4,5,1,1,1,1,1,5,2,1,1,1,1,5,4,5,5,2,4,0,0,0,0,0,1,0,0,0
7,2,6,2,1,1,2,3,2,10,1,0,1,1,99,99,99,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,1,2,1,5,4,4,2,5,5,4,4,5,3,4,2,1,1,4,2,4,1,1,1,1,2,4,1,1,1,1,1,4,4,4,5,1,2,4, ,1,1, ,2, ,4, 
8,1,15,3,1,1,6,4,1,2,0,0,0, ,99,99,99,2,5,5,5,5,5,4,4,5,5,2,5,5,4,4,4,2,1,1,1,1,1,4,4,2,4,4,4,4,4,4,4,2,2,4,4,1,1,1,1,1,2,1,1,1,1,1,4,5,4,5,4,2,0,0,0,0,0,0, ,0, 
9,2,4,4,3,1,6,1,1,11,0,0,1,1,99,99,99,1,2,1,2,2,2,2,2,2,1,2,5,5,1,2,2,2,4,4,4,4,4,5,5,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,1,1,1,1,5,4,4,5,2,4,0,0,0,0,0,0,0,0,0
10,1,12,1,1,1,6,1,1,3,0,0,1,1,99,99,99,5,4,4,1,2,4,4,4,4,4,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,2,2,2,2,2,1,1,1,2,2,4,1,1,1,1,1,5,5,4,4,2,4,4,0,0,0,0,1,0,0,0
